filename,origin,process,rating,roaster,tags,taste notes,varietals
Hawaii Mokka.md,Colombia,Natural,3,Hydrangea Coffee Roasters,#coffees/filter,"Wild Strawberries, Oolong, Nutmeg",Mokka
Luna Bermudez.md,Colombia,Advanced Fermentation,5,Hydrangea Coffee Roasters,#coffees/filter,"Egg Waffle, Blueberry, High Mountain Oolong Tea",Geisha
Letty Bermudez.md,Colombia,Thermal Shock,4,September,#coffees/filter,"Peach Candy, Oolong, Florals",Geisha
Frank Torres Pink Bourbon.md,Colombia,Washed,3,Hydrangea Coffee Roasters,#coffees/filter,"Cherimoya, Apricot, Lavender",Pink Bourbon
Mora Azul Blueberry.md,Colombia,Blueberry Co-fermented Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Blueberry, Raspberry, Milk Chocolate","Caturra, Bourbon"
Tabi Natural.md,Colombia,Natural,2,Freidhats,#coffees/filter,"Raspberry, Dark Chocolate, Silky, Vanilla",Tabi
Foundation Paititi.md,Peru,Washed,3,Colonna,#coffees/espresso,,"Typica, Caturra, Bourbon"
Southern Weather.md,"Honduras, Ethiopia, Colombia",Washed,3,Onyx,"#coffees/filter, #coffees/espresso","Milk Chocolate, Plum, Candied Walnuts, Juicy, Citrus",
El Sendero.md,Colombia,Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Plum, Lime, Florals",Geisha
Kenya Karagoto AB.md,Kenya,Washed,4,Onyx,"#coffees/filter, #coffees/espresso","Grapefruit, Raw Sugar, Green Apple, Hibiscus","SL28, SL34, Batian, Ruiru 11"
Buliza.md,Rwanda,Washed,2,ONA Coffee,#coffees/espresso,"Lime, Lemonade, Caramel, Nashi Pear",Bourbon
Milky Cake.md,Colombia,Washed Thermal Shock,4,DAK Coffee Roasters,#coffees/espresso,"Pistachio, Cardamon, Vanilla Cake, Chai, Honey",Castillo
Gimlet.md,Colombia,Washed Thermal Shock,3,DAK Coffee Roasters,#coffees/espresso,"Lime Yoghurt, Rosemary, White Flowers, Yuzu",Chiroso
FST Zorro.md,Panama,Natural,4,Hydrangea Coffee Roasters,#coffees/filter,"Gooseberry, Tangelo, Tulip",Geisha
Grenadine.md,Colombia,Advanced Fermentation Natural,4,DAK Coffee Roasters,"#coffees/espresso, #coffees/filter","Strawberry, Cherry, Raspberry, Pomegrenate",Ombligon
Hacienda La Papaya B7.md,Ecuador,Natural Anaerobic,3,Hydrangea Coffee Roasters,#coffees/filter,"Melon, Orange, Kiwi",B7
Janson Lot 564.md,Panama,Washed,3,Hydrangea Coffee Roasters,#coffees/filter,"Vita Lemon Tea, Hyacinth, Buddha's Hand",Geisha
Monteblanco Pina Colada.md,Colombia,Washed Co-Fermentation with Fruits and Yeasts,4,Hydrangea Coffee Roasters,#coffees/filter,"Pineapple, Citrus, Mint",Purple Caturra
La Rivera Jaq Crepe.md,Colombia,Jaq Crepe Cultured,3,Hydrangea Coffee Roasters,#coffees/filter,"Tokyo Banana, Calpico, Pocky",Castillo
Nectar Citrullus.md,Colombia,Nectar Citrullus Co-Fermented Washed,4,Hydrangea Coffee Roasters,#coffees/filter,"Watermelon, Peach, Citrus","Bourbon, Caturra"
Tropical Weather.md,Ethiopia,Washed,4,Onyx,"#coffees/filter, #coffees/espresso","Mango, Cherry, Peach, Florals",
La Florida CM Sidra.md,Ecuador,Carbonic Maceration Natural,3,Hydrangea Coffee Roasters,#coffees/filter,"Mulberry, Sauternes, Sage",Sidra
Solo.md,Honduras,,3,Colonna,#coffees/espresso,,
Melondo.md,Colombia,Honey,4,DAK Coffee Roasters,#coffees/espresso,"Ripe Watermelon, Raspberry, Lollipop",Pink Bourbon
Bellavista.md,Peru,Washed,5,03 References/Places/Tanat|Tanat,#coffees/espresso,"Almond, Cane Sugar, Red Berries","Bourbon, Catuai, Pache"
La Quebradita Hulia.md,Colombia,Thermal Shock Bacterial Double Anaerobic Washed,4,Uncle Ben,#coffees/espresso,"Cantaloupe, Watermelon, Strawberry Milk, Green Grape",Pink Bourbon
